IDALOJAMIENTO,DIRECCION,VALORADMIN,AMOBLADO
10261,7 Ridgeview Place,295611,N
10262,0116 Rieder Avenue,304897,Y
10263,8025 Monica Pass,544983,Y
10264,13 Walton Road,408879,Y
10265,557 Monument Way,424478,N
10266,19 Thackeray Court,341704,Y
10267,081 Welch Place,38801,Y
10268,109 Susan Center,561669,N
10269,369 Evergreen Park,122777,N
10270,29191 Hollow Ridge Hill,401574,N
10271,7 Northridge Point,208596,N
10272,577 Elgar Court,177303,Y
10273,32 Fulton Hill,541375,N
10274,13560 Monica Parkway,49221,N
10275,3562 Novick Alley,590262,N
10276,51 Loomis Circle,52815,N
10277,3 Commercial Alley,246726,Y
10278,746 Randy Circle,477650,N
10279,2990 Moland Center,481937,Y
10280,14 7th Road,598141,N
10281,10277 Brentwood Point,207175,N
10282,612 Gulseth Trail,15181,Y
10283,4509 Coleman Road,253835,Y
10284,3133 Old Shore Terrace,57132,Y
10285,37118 Reindahl Parkway,382308,N
10286,9 1st Avenue,577867,N
10287,5762 Superior Hill,510697,N
10288,3 Hollow Ridge Junction,774,Y
10289,71 Forest Run Point,275674,N
10290,02 Towne Circle,157239,N
10291,689 Briar Crest Lane,334171,Y
10292,122 Briar Crest Center,370179,Y
10293,00 Nancy Drive,393897,N
10294,3 Debs Circle,311473,N
10295,3 Dovetail Place,62239,N
10296,9029 Meadow Vale Park,175512,Y
10297,3 Acker Way,434744,Y
10298,3 Monument Pass,554889,Y
10299,0013 Columbus Park,379323,Y
10300,37 Bunker Hill Center,5730,N
10301,2090 Morrow Drive,231353,Y
10302,6231 Daystar Plaza,161839,N
10303,714 Kensington Alley,580909,Y
10304,5759 Hermina Junction,153620,N
10305,37 Stoughton Alley,193862,N
10306,4705 Northwestern Trail,168521,Y
10307,838 Clarendon Place,375102,Y
10308,4 Forest Run Pass,176804,Y
10309,12 Arrowood Parkway,48263,Y
10310,863 Caliangt Hill,87755,Y
10311,04858 Fisk Place,526995,Y
10312,567 Susan Circle,52253,N
10313,11 Huxley Plaza,576025,N
10314,5056 Delladonna Junction,529029,N
10315,480 Clyde Gallagher Terrace,222998,N
10316,91338 Pine View Terrace,471628,N
10317,596 Annamark Road,168931,N
10318,10 Donald Parkway,73076,Y
10319,1613 Oak Valley Park,532458,N
10320,02 Waxwing Trail,300452,N
10321,8 Butterfield Park,522349,N
10322,4945 Longview Crossing,482488,Y
10323,67529 Bartillon Crossing,569498,N
10324,385 Alpine Center,54232,N
10325,05 Swallow Parkway,578305,Y
10326,7 Toban Alley,39622,N
10327,73774 Northview Road,370583,N
10328,65346 Doe Crossing Terrace,49794,N
10329,762 6th Circle,499130,Y
10330,5 Crescent Oaks Avenue,539938,Y
10331,9 Golden Leaf Circle,581373,N
10332,55285 Vidon Terrace,238178,N
10333,85 Moulton Circle,595582,N
10334,437 Oriole Plaza,431573,N
10335,952 Walton Pass,174110,Y
10336,240 Lerdahl Park,34857,N
10337,28920 Little Fleur Center,571120,Y
10338,2858 Mcbride Parkway,291878,N
10339,27975 Hermina Point,47150,Y
10340,2 Grasskamp Hill,506438,N
10341,01 Trailsway Hill,302656,Y
10342,91976 East Parkway,271335,Y
10343,94 Brickson Park Circle,590706,Y
10344,57 Portage Pass,75654,Y
10345,6 Judy Circle,442054,N
10346,6 Loftsgordon Center,205861,N
10347,15 Roxbury Parkway,207742,Y
10348,640 Everett Way,32375,Y
10349,2881 Blue Bill Park Place,344132,Y
10350,972 Superior Avenue,333088,N
10351,7 Reindahl Road,208485,Y
10352,91 Briar Crest Way,436252,N
10353,681 Mayfield Crossing,18815,Y
10354,411 Arapahoe Terrace,490872,Y
10355,0425 Northland Pass,61837,Y
10356,584 Dunning Hill,524844,N
10357,593 North Court,475399,Y
10358,8 Continental Court,394299,N
10359,6429 Marcy Alley,431374,N
10360,671 Dexter Trail,104106,N
10361,0 Hauk Trail,336244,Y
10362,5320 Independence Terrace,260000,N
10363,161 Mariners Cove Avenue,50097,Y
10364,7 Riverside Terrace,2299,Y
10365,683 Mockingbird Crossing,28373,N
10366,3400 Main Street,237900,Y
10367,9313 Troy Street,412379,Y
10368,4 Eliot Center,162039,N
10369,94138 High Crossing Avenue,158614,N
10370,62100 Barby Park,207355,N
10371,081 Dayton Circle,399981,N
10372,3 American Center,216405,N
10373,637 Anniversary Plaza,48772,Y
10374,75 Stuart Terrace,298294,N
10375,945 Butternut Terrace,227042,N
10376,03 Delladonna Plaza,50288,N
10377,7 Grayhawk Hill,21665,N
10378,2709 Waubesa Road,314075,Y
10379,31393 American Plaza,221907,N
10380,75 Blaine Center,35098,Y
10381,17 Trailsway Junction,583271,Y
10382,34761 Karstens Drive,112021,N
10383,32561 West Alley,181411,Y
10384,030 Bartillon Circle,125934,Y
10385,4513 Arapahoe Way,406640,N
10386,08316 Twin Pines Parkway,545490,Y
10387,79 Talmadge Point,151413,N
10388,6579 Union Alley,542455,Y
10389,0 Grasskamp Crossing,55779,Y
10390,344 Holy Cross Park,1917,Y
10391,43229 Tony Center,493777,N
10392,610 Oriole Crossing,266008,Y
10393,51723 Scofield Avenue,494798,Y
10394,417 Montana Park,528850,Y
10395,329 Donald Park,399165,N
10396,5579 Bluejay Drive,35494,N
10397,43885 Hayes Court,572258,N
10398,92 Darwin Plaza,144606,Y
10399,9 Hallows Way,534081,N
10400,52 Onsgard Lane,522416,Y
10401,493 Lunder Court,593390,Y
10402,21 Colorado Crossing,464815,N
10403,457 Warner Point,460360,Y
10404,951 Coolidge Center,441769,N
10405,7 Almo Crossing,276559,Y
10406,0757 Ridge Oak Way,438956,Y
10407,339 Randy Junction,187301,Y
10408,06917 Bluejay Lane,40952,N
10409,25 Clarendon Alley,578705,Y
10410,58 Pankratz Avenue,503972,N
10411,0 Ramsey Center,208749,Y
10412,916 Myrtle Point,313845,Y
10413,672 Meadow Vale Terrace,484698,Y
10414,66448 Briar Crest Junction,127229,N
10415,6 Hanson Terrace,24199,Y
10416,2 Oneill Trail,456675,N
10417,11639 1st Hill,309585,Y
10418,2215 7th Terrace,416112,Y
10419,09621 Express Drive,115355,N
10420,88643 Luster Trail,548890,N
10421,590 Farwell Parkway,412442,Y
10422,0811 Lotheville Road,239669,N
10423,4 Killdeer Way,180637,N
10424,98455 Daystar Hill,496985,Y
10425,4 Melrose Trail,357016,N
10426,65614 Anthes Road,40782,N
10427,3635 Merchant Park,522449,Y
10428,37 Veith Trail,55703,Y
10429,161 Macpherson Junction,469506,Y
10430,371 Dennis Terrace,517853,Y
10431,0 Crownhardt Pass,177833,N
10432,23434 Golf View Hill,158186,N
10433,95913 Hovde Court,253362,Y
10434,5602 Portage Alley,379367,N
10435,4309 Macpherson Junction,561268,N
10436,9578 Northport Junction,409962,Y
10437,6 Service Parkway,133210,N
10438,1025 Mayer Court,527948,Y
10439,0 Heath Plaza,412874,N
10440,320 Bay Drive,218693,N
10441,96 American Ash Place,78080,N
10442,245 Prairieview Alley,311005,N
10443,4 Shasta Hill,288269,Y
10444,22 Raven Hill,115398,Y
10445,56349 Thackeray Crossing,229471,Y
10446,7736 Truax Pass,257104,Y
10447,6 Morrow Lane,566133,Y
10448,6 Reindahl Hill,61912,Y
10449,16505 Express Circle,202563,N
10450,7 Fairview Plaza,512053,N
10451,7378 Arrowood Pass,160810,N
10452,3783 Pond Pass,145421,N
10453,2517 6th Parkway,582360,Y
10454,84 Bunting Drive,587711,Y
10455,2 Canary Court,548931,N
10456,2 Summerview Way,298085,Y
10457,23297 Londonderry Circle,236354,Y
10458,1582 Fieldstone Road,575679,Y
10459,78124 Haas Junction,566963,N
10460,10696 Forest Run Way,221046,Y
10461,9 Porter Lane,454888,N
10462,1 High Crossing Alley,538762,N
10463,81 Nova Center,516174,Y
10464,899 Glendale Terrace,222103,N
10465,480 Huxley Drive,203416,Y
10466,3 Spenser Alley,530767,Y
10467,1 Lillian Road,28526,Y
10468,9190 Mockingbird Crossing,58064,Y
10469,890 Sunbrook Lane,480628,N
10470,30557 Sommers Drive,120856,N
10471,758 Banding Street,264231,N
10472,529 Buena Vista Crossing,447822,N
10473,746 Hovde Pass,290278,N
10474,69 David Trail,41215,Y
10475,08633 Tony Center,459739,Y
10476,00 Nelson Junction,198727,N
10477,5206 Haas Park,304049,N
10478,664 Sachs Crossing,219648,Y
10479,40621 Elmside Street,462101,Y
10480,420 Paget Park,269172,N
10481,16901 Village Green Trail,263173,Y
10482,3 Thackeray Place,467499,Y
10483,160 Dexter Crossing,408566,N
10484,4 Michigan Lane,34723,N
10485,5 Arrowood Road,324829,Y
10486,0147 Sunnyside Junction,243803,N
10487,211 Park Meadow Park,366030,Y
10488,0 Blackbird Crossing,513861,N
10489,8131 Dottie Junction,452907,Y
10490,9799 Elka Junction,410692,Y
10491,91 Debs Center,164471,Y
10492,99 Cascade Alley,447844,Y
10493,54 Blaine Hill,142315,Y
10494,21 Upham Lane,53139,N
10495,72317 Jenifer Center,524151,Y
10496,0094 Garrison Street,414220,Y
10497,32 Service Crossing,25743,N
10498,1 Ridgeview Place,248163,Y
10499,9630 Red Cloud Hill,334317,Y
10500,9864 Lawn Court,319314,N
10501,0 Blue Bill Park Plaza,201656,N
10502,8 Jenna Drive,189729,N
10503,7 Sugar Plaza,442788,Y
10504,28 Forest Dale Court,364511,N
10505,513 Tennyson Pass,264263,Y
10506,4 Ryan Drive,409160,Y
10507,792 Transport Point,593226,Y
10508,70 Lukken Lane,25210,N
10509,6 Melrose Crossing,164138,Y
10510,244 Stone Corner Park,460183,N
10511,568 Susan Alley,253328,Y
10512,1 Stuart Drive,307355,N
10513,94 5th Court,31293,N
10514,35111 Corry Drive,499970,Y
10515,21159 Hooker Junction,52035,N
10516,6867 Luster Trail,257847,Y
10517,512 Morningstar Junction,316091,Y
10518,772 Corben Circle,86437,Y
10519,93915 Reindahl Parkway,153653,N
10520,2 Birchwood Parkway,360872,Y
10521,61204 Fieldstone Trail,87637,N
10522,27 Eastwood Point,497586,N
10523,7385 Lindbergh Street,420184,Y
10524,48076 Graceland Court,249883,Y
10525,4 Twin Pines Road,435224,Y
10526,311 Pankratz Alley,316147,Y
10527,721 Debs Street,159154,Y
10528,48221 Stuart Park,184229,N
10529,23 Anhalt Pass,210091,N
10530,635 Lunder Junction,119651,N
10531,965 Rockefeller Way,497290,N
10532,157 Roth Alley,156471,N
10533,69 Cambridge Junction,167285,Y
10534,921 Shoshone Way,390180,N
10535,2888 Carpenter Park,290974,N
10536,7 Golf Course Avenue,402106,Y
10537,29 Manitowish Plaza,339184,N
10538,2705 Almo Drive,447986,Y
10539,20708 Warbler Circle,251619,Y
10540,2320 Northport Pass,155256,Y
10541,22966 Nevada Junction,37135,N
10542,238 Roth Point,261462,N
10543,9285 Eastwood Court,548233,N
10544,2 Heffernan Plaza,399934,Y
10545,44 Kipling Place,446816,N
10546,5 Sachtjen Junction,342673,Y
10547,15133 North Avenue,316425,N
10548,0 Manitowish Drive,333489,Y
10549,158 Nova Place,517466,N
10550,82 Rowland Drive,389177,Y
10551,8900 Marcy Circle,473479,N
10552,82149 Blue Bill Park Trail,500777,Y
10553,0 Spenser Alley,575167,Y
10554,84470 Nevada Plaza,9880,N
10555,6 Waywood Park,404155,Y
10556,05 Cascade Park,4938,Y
10557,900 Farmco Crossing,52676,N
10558,983 Bashford Avenue,250745,Y
10559,66075 Loomis Parkway,62450,N
10560,13274 Hooker Court,48295,N
10561,93966 Michigan Point,133628,Y
10562,00439 Fisk Terrace,198499,Y
10563,00935 Atwood Road,164632,Y
10564,46 Crownhardt Place,228127,N
10565,6 Tennyson Hill,117042,Y
10566,752 Carpenter Crossing,144009,Y
10567,19 Aberg Point,258620,Y
10568,09569 Pawling Lane,246579,Y
10569,823 Cambridge Crossing,151098,N
10570,1 Declaration Pass,429762,N
10571,96 Clarendon Lane,567228,Y
10572,47 Tennessee Trail,477907,N
10573,1 Caliangt Park,141263,N
10574,92 Acker Terrace,576006,N
10575,821 Division Avenue,295450,N
10576,10466 Sutherland Crossing,367332,N
10577,5 Dakota Plaza,210458,N
10578,6 Barnett Pass,370597,N
10579,7986 Jenifer Terrace,166003,N
10580,60 Kingsford Circle,581023,N
10581,1097 Pierstorff Court,242575,Y
10582,1 Pearson Terrace,418002,N
10583,692 Tomscot Lane,429298,N
10584,369 Commercial Trail,126893,N
10585,3322 Summer Ridge Street,508037,Y
10586,88 Springs Junction,189036,N
10587,56188 Waxwing Avenue,512734,Y
10588,11 Kingsford Junction,31519,Y
10589,159 Sutherland Lane,99677,Y
10590,84833 Huxley Plaza,293915,N
10591,7962 6th Terrace,248019,Y
10592,2305 Memorial Road,464736,Y
10593,56 Darwin Lane,74463,N
10594,3196 Hollow Ridge Center,534916,Y
10595,75709 Buell Circle,2770,N
10596,2916 Erie Street,34880,N
10597,50 Jenna Plaza,221225,Y
10598,74 Gateway Lane,570604,N
10599,43511 Myrtle Drive,591492,Y
10600,4075 Dottie Crossing,96725,Y
10601,8 Nancy Terrace,437003,N
10602,7354 Truax Lane,45827,N
10603,955 Forster Circle,366093,Y
10604,2114 Marcy Terrace,298673,N
10605,945 Vera Parkway,464387,N
10606,53105 Haas Hill,493709,N
10607,3904 New Castle Road,443767,Y
10608,423 Elgar Road,83734,N
10609,07795 Pawling Avenue,579949,N
10610,61576 Clove Way,539746,N
10611,913 Ronald Regan Trail,259880,N
10612,4565 Thackeray Avenue,448453,N
10613,26751 Crescent Oaks Court,304627,N
10614,478 Oxford Crossing,42964,N
10615,4766 Oriole Junction,166295,N
10616,3078 Oneill Terrace,357084,N
10617,0397 5th Lane,159207,Y
10618,5 Center Crossing,24572,Y
10619,0214 Parkside Drive,31764,N
10620,757 Elmside Trail,507044,N
10621,1175 Thackeray Center,537416,N
10622,15 Lerdahl Trail,227599,N
10623,4 Sauthoff Pass,311,N
10624,0254 Luster Park,433724,Y
10625,01 Mayfield Crossing,51043,N
10626,3100 Golden Leaf Street,475336,N
10627,481 6th Place,65728,N
10628,3961 Division Parkway,589013,N
10629,99016 Stone Corner Park,115784,N
10630,17 Springview Drive,456318,Y
10631,4 Riverside Drive,266833,Y
10632,698 East Court,40529,Y
10633,60813 Oak Valley Road,272432,N
10634,870 Magdeline Trail,82801,Y
10635,0 Pawling Street,251946,N
10636,62544 Welch Hill,83555,Y
10637,7 Sunfield Way,224197,N
10638,7755 Bonner Road,597635,Y
10639,66155 Lakewood Way,308930,Y
10640,0 Caliangt Alley,111234,N
10641,9024 Vermont Hill,181467,N
10642,3045 Lakewood Street,526124,Y
10643,6 Milwaukee Alley,388161,N
10644,483 Oak Crossing,129954,N
10645,1 Messerschmidt Junction,342175,N
10646,6 Arkansas Trail,245211,Y
10647,88708 Kingsford Pass,77439,Y
10648,45 Norway Maple Lane,572072,N
10649,66 Karstens Court,55957,N
10650,45 Delladonna Hill,40204,N
10651,79 Ridgeway Way,129964,N
10652,5016 Alpine Terrace,450287,Y
10653,21 Goodland Plaza,437990,N
10654,6 Moland Road,354232,Y
10655,6 Mallory Hill,213425,Y
10656,84 Merchant Alley,128809,Y
10657,56 Calypso Center,396126,Y
10658,5 Kim Place,202074,N
10659,9 2nd Junction,380370,N
10660,96 Hauk Way,311028,N
10661,8507 Brown Crossing,221825,N
10662,1 Barnett Center,291740,Y
10663,0 Myrtle Lane,537051,N
10664,7 Lake View Street,563469,Y
10665,68 Bellgrove Plaza,560697,N
10666,307 Grasskamp Street,329194,N
10667,132 Eagle Crest Way,120447,N
10668,97892 Bunker Hill Hill,520158,N
10669,4348 Chinook Court,501584,Y
10670,3649 Schurz Crossing,564087,Y
10671,3266 Moose Lane,449899,N
10672,7468 1st Court,544262,Y
10673,5718 Pleasure Park,595315,N
10674,090 Waywood Place,564035,N
10675,53 Di Loreto Drive,507443,N
10676,0406 Mosinee Street,203674,Y
10677,486 Susan Street,230343,Y
10678,58084 Loomis Plaza,16478,N
10679,07 Texas Way,528509,Y
10680,721 Banding Plaza,306995,N
10681,4 3rd Terrace,572716,N
10682,0774 Raven Junction,368220,N
10683,088 Loeprich Trail,352896,Y
10684,06235 Boyd Place,183226,N
10685,0 Sachs Pass,186312,N
10686,21871 Northfield Pass,558447,N
10687,0 Troy Parkway,530934,Y
10688,02417 Rutledge Junction,24370,Y
10689,53 Lotheville Plaza,516388,N
10690,1202 Cascade Alley,56614,Y
10691,3413 Bunker Hill Alley,78777,N
10692,0762 International Circle,346569,Y
10693,22 Wayridge Place,387864,Y
10694,1329 Westport Road,205439,N
10695,2 Clove Lane,324546,N
10696,8 Kings Parkway,195748,N
10697,3655 Merchant Parkway,420608,Y
10698,1254 Doe Crossing Place,155806,N
10699,0525 Texas Crossing,107031,N
10700,907 Sycamore Junction,156578,Y
10701,7877 Pierstorff Avenue,309565,N
10702,719 Almo Lane,492172,Y
10703,85109 Oneill Street,459697,N
10704,3782 Fisk Circle,56947,N
10705,32394 Di Loreto Trail,465126,N
10706,0919 Texas Point,439130,Y
10707,4176 Muir Place,388060,Y
10708,63 Green Ridge Drive,40677,Y
10709,0 Maywood Terrace,228926,Y
10710,58 Dorton Lane,20616,N
10711,6700 Farragut Alley,415262,N
10712,377 Nancy Trail,6483,Y
10713,12750 Mandrake Road,189680,Y
10714,570 Clarendon Road,188951,Y
10715,19 East Court,445951,N
10716,205 Roth Center,92325,Y
10717,6934 Bonner Parkway,268613,N
10718,7 Arkansas Court,163018,Y
10719,3 Main Drive,321393,N
10720,117 Lakewood Gardens Place,43134,Y
10721,50 Burrows Center,250906,N
10722,1 Loeprich Junction,311641,Y
10723,76869 2nd Drive,232640,N
10724,63092 Luster Center,220604,N
10725,133 Badeau Plaza,567071,Y
10726,47 Hanson Drive,198613,Y
10727,0912 Lakeland Terrace,136355,N
10728,00 Longview Terrace,172911,Y
10729,3079 Northwestern Lane,106856,N
10730,83 Gerald Way,231264,N
10731,69 Florence Drive,585711,N
10732,04 Clarendon Avenue,29382,Y
10733,891 Cascade Lane,26592,N
10734,758 Melody Point,562966,Y
10735,630 Starling Alley,141669,Y
10736,382 Eliot Terrace,282720,N
10737,346 High Crossing Junction,552157,Y
10738,10 Badeau Park,547724,Y
10739,051 Clarendon Way,141815,Y
10740,07 American Alley,182628,Y
10741,6 Fulton Lane,282182,N
10742,382 Jana Point,199277,Y
10743,12 Veith Court,141961,Y
10744,3 Vermont Street,149530,N
10745,72544 Northridge Drive,387758,Y
10746,5 John Wall Center,125926,N
10747,3 Little Fleur Crossing,562644,Y
10748,7662 Drewry Junction,464105,Y
10749,6 Delaware Pass,560596,N
10750,537 Northfield Trail,100364,Y
10751,3945 Brown Crossing,178105,N
10752,2 Holmberg Way,232921,N
10753,31057 Village Trail,585358,N
10754,131 Heath Street,62288,Y
10755,3 Browning Road,23074,N
10756,1 John Wall Court,130034,Y
10757,0144 Thierer Place,579718,Y
10758,2 Cody Park,269810,N
10759,8 Toban Street,464199,Y
10760,43662 Tennyson Hill,317038,N
10761,13102 Farragut Circle,300842,N
10762,81 Hintze Road,539461,Y
10763,51 Gerald Crossing,559206,N
10764,11 Jenifer Place,509987,N
10765,6 Acker Court,368931,N
10766,56109 Charing Cross Place,392599,N
10767,7 Burning Wood Plaza,263553,Y
10768,12687 Jackson Point,144872,N
10769,0 Shasta Drive,214801,N
10770,21861 Donald Circle,280348,Y
10771,33 Commercial Street,386451,N
10772,9956 Talmadge Trail,471391,N
10773,289 Dwight Road,229653,N
10774,098 Lyons Crossing,410330,N
10775,78 Northland Hill,458459,Y
10776,2949 Arkansas Court,76603,N
10777,652 Kropf Alley,387679,N
10778,08 Donald Plaza,379677,N
10779,595 Elka Plaza,321189,N
10780,6127 Waxwing Place,308805,Y
10781,4767 Shelley Center,339322,N
10782,41 Eastwood Center,520410,Y
10783,3 Farmco Street,222550,Y
10784,48367 Brickson Park Junction,290013,N
10785,78038 Huxley Pass,322077,N
10786,33 Little Fleur Lane,500404,Y
10787,8 Mesta Pass,117918,Y
10788,20 Hoffman Terrace,213460,N
10789,4571 Erie Junction,502740,N
10790,033 Park Meadow Crossing,89371,N
10791,2 Beilfuss Crossing,99198,N
10792,666 Bartelt Center,466828,Y
10793,12256 Toban Park,42158,N
10794,717 Lindbergh Street,548316,Y
10795,7919 Parkside Terrace,138875,Y
10796,74 Messerschmidt Place,544301,Y
10797,74017 Sullivan Circle,355015,N
10798,39202 Rowland Pass,460153,N
10799,2 2nd Parkway,417220,Y
10800,66 American Ash Terrace,489347,N
10801,1 Delaware Place,398964,N
10802,898 Garrison Alley,291905,Y
10803,167 Sheridan Way,75254,N
10804,3885 Northfield Park,580698,Y
10805,051 Brown Drive,588003,N
10806,7219 Di Loreto Place,141338,Y
10807,531 Meadow Valley Parkway,425352,N
10808,14 Troy Parkway,25561,N
10809,29089 Walton Pass,324076,Y
10810,37 Forest Dale Point,596813,Y
10811,282 Victoria Circle,112683,Y
10812,3342 Bobwhite Road,379418,Y
10813,4898 Harper Road,386947,N
10814,82 Bluejay Terrace,128415,N
10815,4 Northridge Terrace,50090,N
10816,945 Northwestern Circle,551008,Y
10817,66 Knutson Junction,415082,Y
10818,77 Bunker Hill Trail,440095,Y
10819,1051 Miller Court,314414,Y
10820,35 Becker Center,234374,N
10821,5 Bonner Crossing,547000,N
10822,687 Nobel Way,240153,Y
10823,40144 Calypso Place,93197,N
10824,6674 Lerdahl Avenue,199790,Y
10825,677 Bashford Center,576258,Y
10826,66 Buell Parkway,92494,Y
10827,6014 Brown Trail,397793,N
10828,6561 Nancy Point,529178,Y
10829,3880 Holmberg Center,148704,N
10830,84430 Buhler Street,479143,N
10831,0 American Circle,111978,Y
10832,40 Badeau Lane,331623,N
10833,417 Larry Crossing,380964,Y
10834,25641 Prairie Rose Pass,70876,Y
10835,7 Arizona Junction,283412,Y
10836,2391 Morningstar Plaza,238258,N
10837,55 Mariners Cove Hill,447342,Y
10838,83164 Karstens Drive,433236,Y
10839,5 Oriole Court,302634,N
10840,37 Schurz Junction,566540,N
10841,48906 Duke Alley,199543,Y
10842,30416 Russell Pass,288766,Y
10843,8274 Gerald Court,446314,N
10844,460 Morning Lane,585951,N
10845,4649 Karstens Crossing,536767,Y
10846,4381 Tennyson Road,377458,N
10847,968 Hallows Place,396096,Y
10848,0 Birchwood Park,279111,N
10849,06 Westridge Parkway,72547,N
10850,75 Graedel Circle,403829,N
10851,1 Larry Place,226733,Y
10852,5645 Florence Place,410247,N
10853,64 Texas Crossing,471431,N
10854,567 Westridge Court,124370,N
10855,203 Coleman Road,154657,N
10856,2025 Blue Bill Park Street,138463,N
10857,5246 Browning Center,141683,Y
10858,6 Bayside Pass,128835,Y
10859,31 Gale Center,233487,N
10860,86 Dwight Way,218649,Y
10861,3527 Annamark Drive,410452,N
10862,5674 Kropf Way,177936,Y
10863,233 Armistice Pass,553906,N
10864,8768 Park Meadow Pass,120605,N
10865,8565 Dottie Center,173564,N
10866,522 La Follette Alley,115400,Y
10867,33291 Old Shore Plaza,190859,Y
10868,2619 Lakewood Gardens Way,357327,Y
10869,80 Lunder Drive,144905,N
10870,07861 Eliot Park,463508,N
10871,58445 Di Loreto Avenue,25434,Y
10872,86 Northwestern Center,271439,N
10873,8943 Hanson Road,564980,N
10874,87640 Debs Alley,130631,Y
10875,8899 Spenser Place,263923,Y
10876,8 Hoard Lane,209896,N
10877,42 Westport Point,518091,N
10878,90767 Mcbride Street,492309,N
10879,1 Pennsylvania Plaza,379539,Y
10880,5239 Oak Valley Plaza,433473,N
10881,08 Becker Hill,313995,N
10882,525 Declaration Place,38397,N
10883,78 Kennedy Drive,84364,Y
10884,9 Nobel Plaza,429738,Y
10885,79 Holmberg Crossing,210948,Y
10886,257 Hermina Parkway,573809,N
10887,9075 Sachs Junction,508651,N
10888,44 Becker Street,136699,N
10889,2402 Carberry Street,316253,Y
10890,93 Merrick Plaza,545404,Y
10891,1050 Transport Pass,349529,N
10892,06 Maryland Parkway,23775,N
10893,116 Meadow Vale Lane,161047,N
10894,94478 Mccormick Point,291448,N
10895,11 Basil Street,508791,N
10896,710 Eastlawn Alley,141158,N
10897,34 Porter Road,202847,N
10898,8 Springs Way,242499,N
10899,38788 Norway Maple Crossing,17144,Y
10900,24181 Pleasure Lane,567928,Y
10901,1 Eagle Crest Junction,189444,Y
10902,012 Russell Point,202475,N
10903,771 Mifflin Point,572504,Y
10904,2229 Welch Lane,426689,N
10905,128 West Trail,218522,Y
10906,2 Anhalt Center,359172,Y
10907,91 Shasta Terrace,106853,Y
10908,5863 Maywood Plaza,438539,N
10909,6 Starling Point,493438,Y
10910,16 Mitchell Court,109792,N
10911,57986 Thompson Alley,150243,Y
10912,2162 Vidon Pass,217397,Y
10913,7 Weeping Birch Place,318116,N
10914,109 Hayes Circle,551217,Y
10915,3 Warbler Crossing,433699,N
10916,09 Crowley Terrace,156310,Y
10917,21722 Westerfield Circle,226691,N
10918,028 Waubesa Road,19067,N
10919,24 Forest Trail,493413,Y
10920,0 Lindbergh Place,91512,N
10921,1 Michigan Point,217965,N
10922,42188 Fulton Drive,335503,Y
